UPC,Product,
0001311461636,ACE FN 5 INCH POCKET COMB,
0001311461686,ACE 5 INCH POCKET COMB,
0001311462576,ACE COMB W/TAIL,
0001311462746,ACE DRESSING COMB BLACK,
0004145700639,GOODY POCKET COMBS,
0004145701107,GOODY SUPER COMB,
0004145701279,GOODY FAMILY CMB SET #555,
0004145701457,GOODY BRN #820 BOBBY PINS,
0004145701520,GOODY BRN #824 BOBBY PINS,
0004145701538,GOODY BLK #824 BOBBY PINS,
0004145702453,GOODY WAVY BRNTT BBY PINS,
0004145703482,GOODY SMP STY MNI SPN PIN,
0004145703697,GOODY ALUM CLIPS 5990,
0004145704115,GOODY SSF TSE LIFT VOL PK,
0004145704135,GOODY OCHLS TIEBACKS,
0004145704391,GOODY WDGRN PRO STYL BRSH,
0004145704717,GOODY CLW CLP SLD PRF LRG,
0004145704728,GOODY GRLS GLTR BARTTS,
0004145706868,GOODY HAIR BRUSH,
0004145706951,GOODY OCHLS WMN ELASTIC,
0004145708548,GOODY SLD PRF CLW CLPS,
0004145708998,GOODY OVAL CUSHION BRUSH,
0004145709563,GOODY PADDLE CUSHION BRSH,
0004145709925,GOODY SOFT FRINGE ELASTIC,
0004145710907,GOODY OCHLS 4MM CHOC CK,
0004145712670,GOODY BLK PNYTL RBBR BAND,
0004145715502,GOODY CC SM BLND BOBBY PN,
0004145715503,GOODY CC SM BRWN BOBBY PN,
0004145715504,GOODY CC SM BLK BOBBY PIN,
0004145716132,GOODY WMN FOREVER ELSTCS,
0004145716706,GOODY MIXED PONYTAIL PK,
0004145716712,GOODY BLK NO MTL ELASTICS,
0004145716714,GOODY OCHLS NO MTL ELSTCS,
0004145716724,GOODY OCHLS 5MM BLCK,
0004145716998,GOODY ELSTCS NEON,
0004145717384,GOODY DENTLESS PONYTAILER,
0004145717667,GOODY MEDIUM CLAW CLIP,
0004145717858,GOODY TT SPR STRCH BLK,
0004145717869,GOODY SCRNCH CTTN ASSRTD,
0004145718004,GOODY PONYTAIL ELSTIC TIE,
0004145722622,GOODY CONTOUR CLIPS,
0004145727117,GOODY 2 SIDE SHVNG MIRROR,
0004145727847,GOODY MAKE UP MIRROR 11IN,
0004145730518,GOODY MIN BRAIDED ELASTIC,
0004145743776,GOODY OCHLS BLK ELSTCS,
0004145771288,GOODY OCHLS BLK ELASTIC,
0004145771289,GOODY OCHLS CLR ELASTIC,
0004145771292,GOODY MINI NEON ELASTIC,
0004145776091,GOODY LARGE CLAW CLIP,
0004145776739,GOODY CC BROWN BOBBY PINS,
0004145776772,GOODY CC BLK SPRKLY ELSTC,
0004145780228,GOODY LRG 2 SIDE CTRS MIR,
0004145782065,GOODY MEGA ROLLERS VP,
0004319415975,SCNI NO DMG SML BLK ELSTC,
0004319415976,SCNI NO DMG BLK MED ELSTC,
0004319416160,SCNI EFRTLS SIDE BARRET,
0004319416201,SCNI MED HAIR CLIPS,
0004319416203,SCNI ASST COLOR SIDE COMB,
0004319416219,SCUNCI STRETCH COMBS,
0004319416261,SCNI NAT WFL RFL TWISTER,
0004319416264,SCNI NO DMG SML BRT ELSTC,
0004319416267,SCNI BLK/CLR/TORT JAW CLP,
0004319416775,SCNI NO DMG BLK LRG ELSTC,
0004319416776,SCNI NO DMG BRWN LRG ELST,
0004319416962,SCNI MEDIUM JAW CLIP,
0004319416985,SCNI MINI SCRNCHIE,
0004319416988,SCNI SLNKY MN TWSTR SCRCH,
0004319416998,SCNI CONTOUR BARRETTE,
0004319416999,SCNI CONTOUR BARRETTE,
0004319417186,SCNI NSG 9CM JAW CLP,
0004319417187,SCNI THICK HAIR JAW CLIP,
0004319417278,SCNI NO DMG 4MM BLK PNYTL,
0004319417673,SCNI NO DMG FLAT BLK ELTC,
0004319417829,SCNI NO DMG 5MM THK ELSTC,
0004319417836,SCNI NSG CRWN JAW CLIP,
0004319417843,SCNI NSG 8CM OVAL CLIP,
0004319417851,SCNI NSG 8.5CM GRIP BRTS,
0004319417863,SCNI NO DMG 2MM BRW ELSTC,
0004319417888,SCNI NO DMG 6MM BRN ELST,
0004319417891,SCNI NO DMG 2MM ELASTICS,
0004319417901,SCNI NSG 3.5CM JW CLP,
0004319417902,SCNI NSG CHNKY JAW CLIP,
0004319417924,SCNI 9CM THCK HAIR BARETE,
0004319420000,SCNI BOBBY PINS W/STONES,
0004319420021,SCNI HEAD BAND,
0004319420074,SCNI HEAD BAND,
0004319420427,SCNI MIXED ELASTICS,
0004319421359,SCNI INTERLOCK NTRL 12PK,
0004319422534,SCNI KIDS POLYBAND,
0004319422818,SCNI KIDS DOT CLIP,
0004319422853,SCUNCI 2MM S/L ND ELASTCS,
0004319423019,SCNI HAIR CLIP,
0004319425030,SCNI DENIM BARRETTES,
0004319432508,SCNI 4MM NYL ELSTC HR TIE,
0004319432509,SCNI FINE HAIR NYL ELSTCS,
0004319432626,SCNI 4-PK BOW PONYTAILE,
0004319432718,SCNI 5PK JAW CLIP ASST,
0004319432722,SCNI VALUE PACK POLYBANDS,
0004319433344,SCNI 6-PK SPIRAL PNYTAILR,
0004319433480,CONR 4MM TXTRD ELSTC 32PK,
0004319433758,CONR HSRY PNYTLRS 20PK,
0004319435022,SCNI TB DCO ASSRT BBY PNS,
0004319435028,SCNI THE BSK EDT SNP CLPS,
0004319435031,SCNI THE BSK EDT VV HDBND,
0004319435035,SCNI TBE STN TRBN HDBND,
0004319435760,SCNI TBE BRAIDED HEADBAND,
0004319436159,SCNI NSG OCTOPUS CLIP,
0004319436168,SCNI NSG 6CM OCTOPUS CLIP,
0004319436687,SCNI MINI OCTOPUS CLIP,
0004319436769,SCNI NSG JAW CLP,
0004319437040,SCNI NSG SPLT OVL BBY PIN,
0004319437224,SCNI MED OCTOPUS CLIPS,
0004319437347,SCNI NSG HEADBAND,
0004319437758,SCUNCI OCTOPUS JAW CLIP,
0004319438304,SCNI NSG SUPER BANDS,
0004319438380,SCNI WIDE HEADWRAPS,
0004319438573,SCNI NEW EVLTN ELASTICS,
0004319438653,SCNI NO DMG BRGT ELSTCS,
0004319438701,SCNI NEW EVLTN PONYTAIL,
0004319439124,SCNI NSG GALAXY JAW CLIPS,
0004319439220,SCNI NSG CHUNKY JAW CLIPS,
0004319439533,SCNI NSG BASIC HEADWRAP,
0004319439535,SCNI LUXE N/S HEADWRAP,
0004319439704,SCNI EVO/CORE ELASTICS,
0004319439971,SCNI RHINESTONE BOBBY PIN,
0004319439987,SCNI BARRETT,
0004319458323,SCNI HEADWRAPS,
0004319458328,SCNI INTERLOCK HEADWRAPS,
0004319458898,SCNI EFRTLS FABRIC HDBAND,
0004319459189,SCNI NO DMG CRRBN ELSTCS,
0004319459415,SCNI NO DMG PRNT ELSTCS,
0004319460168,SCNI LRG MTL HR CLAW CLIP,
0004319460270,SCNI HAIR BOBBY PINS,
0004319460363,SCNI PATEL HEADWRAPS,
0004319460472,SCNI FLOWER CLAW CLIP,
0004319467393,SCNI NSG BLACK BOBBY PINS,
0004319467403,SCNI NSG BOBBY PINS,
0004319470803,SCNI MTL TST SNP CLPS,
0004319481514,SCNI NSG OVAL CLIPPIES,
0004319491189,SCNI NARROW COMB HEADBAND,
0007410855302,CONAIR BLACK BOBBY PINS 6,
0007410855604,CONR CURVE BLK BOBBY PINS,
0007410855608,CONR BOBBY PINS POUCH,
0007410855961,CONR 60PK SFT TCH BBY PIN,
0007410855962,CONR 60PK SFT TCH BBY PIN,
0007410866626,CONR THE CRL STN FM RLLRS,
0007410872600,CONR GL GRP VENT BRUSH,
0007410880050,CONR TUNNEL VENT BRUSH,
0007410880052,CONR NYLON ALL PURP BRUSH,
0007410880054,CONR PRO CUSH WIRE BRUSH,
0007410880058,CONR PRO FULL ROUND BRUSH,
0007410880065,CONR PADDLE BRUSH,
0007410880072,CONR PRO ROUND BRUSH,
0007410880075,CONR PURSE SIZE BRUSH,
0007410886260,TNGLBSTR PADDLE BRUSH,
0007410887714,CONR IMPSN CSHN BRSH,
0007410888741,CONR PORCUPINE CUSH BRUSH,
0007410888743,CONR ALL PURPOSE BRUSH,
0007410893500,CONR POCKET COMB,
0007410895120,CONR FUSION BRUSH/COMB,
0007872905700,HT TLS SGNTR EXTR LG BRSH,
0007872905701,HT TLS SGNTR EXTR LG BRSH,
0073150984197,KISS STN WRAP SCARF LPRD,
0073150984202,KISS NONSLIP DTNGL BRSH,
0073150984208,KISS PR WV SLKY STN DURAG,
0073150986162,KISS DL SDD TWST SPNG MDM,
0073150986163,KISS RAKE COMB JUMBO,
0073150986166,KISS 10PCS COMB SET BLACK,
0073665854724,WET BRUSH DTNGLING COMB,
0073665859153,WET BRUSH GO GR HR DTNGLR,
0073665894690,WET BRUSH SHINE ENHANCER,
0073665894696,WET BRUSH SHOWER FLEX,
0073665894705,WET BRUSH SPEED DRY AS,
0073665894710,WET BRUSH DETANGLER ASS,
0073665894712,WET BRUSH HIPSTER,
0073665894715,WET BRUSH MINI,
0073665896980,WET BRUSH THK HR DETANGLR,
0076131802640,RVLN NYLON CUSHION BRUSH,
0076131802827,RVLN SIG CUSHION BRUSH,
0076131802828,RVLN TUNNEL VENT BRUSH,
0076131802832,RVLN SIG ALL PURP BRUSH,
0076131802933,RVLN SM PRCP ROUND BRUSH,
0076131802954,RVLN TRUE RD A/P BRUSH,
0076131805295,RVLN SURE GRIP CLIX BLACK,
0076131805644,RVLN TWO TONE CLAW CLIPS,
0076131812833,RVLN SIG PADDLE BRUSH,
0076131812953,RVLN TRUE RD CUSH BRUSH,
0076131823074,RVLN TINY OCTOPUS CLIP,
0076131823121,RVLN COMFORT FM HEADBAND,
0076131823127,RVLN PIN UP CLIP,
0076131823144,RVLN THRML KNIT HEADWRAPS,
0076131823147,RVLN IONIC SYTLE COMB 3PC,
0076131823160,RVLN LARGE PADDLE BRUSH,
0076131823167,RVLN OCTOPUS CLIP W RNSTN,
0076131823172,RVLN IONIC ROUND BRUSH,
0076131823173,RVLN ALL PRPS IONIC THRML,
0076131823175,RVLN TITANIUM BRSH W/TAIL,
0076131823181,RVLN BOAR BLEND BRUSH,
0076131823182,RVLN SIG NYLON CSHN BRSH,
0076131823251,RVLN ES COIL ELASTICS,
0076131823256,RVLN ES STYLNG ELASTICS,
0076180900206,WVNFR STRCHBLE LOC CAP,
0076180900305,EVOLVE WRAP SCARF BLACK,
0076180900326,EVOLVE RYL TOP KNT TURBAN,
0076180901681,EVOLVE STN WD EDG BRD BNT,
0076180901778,EVOLVE WIDE EDGE STYLER,
0076180905375,EVOLVE STYLING BRUSH,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
